CountryName,Region,ThirdWorld,LifeExpectancy1990,LifeExpectancy2017,MortalityInfantRate1990,MortalityInfantRate2017,Physician1990,Physician2017,BirthRate1990,BirthRate2017,PopAge15-64Rate1990,PopAge15-64Rate2017,PopAgeOver65Rate1990,PopAgeOver65Rate2017
Czech Republic,Western Europe,0,71.38390243902441,78.97804878048781,10.3,2.5,2.7112,4.0676,12.6,10.8,65.7648603237154,65.6179183338762,12.679981142795,18.9967065230691
Dominican Republic,North America,0,66.574,73.689,46.3,24.8,1.49,1.56,29.568,19.799,57.7999364687206,64.8693953755237,3.73141128316643,6.87998520703305
"Egypt, Arab Rep.",Africa,0,64.572,71.656,62.7,18.5,0.76,0.7993,33.249,27.05,54.6416529236267,61.0365300119322,4.60093373991651,5.18793195840207
Equatorial Guinea,Africa,0,48.775,58.061,120.4,64.1,0.281,0.4017,42.085,33.725,52.8235541093734,60.231204070992,4.22292622880426,2.48375200673216
Estonia,Northern Europe,0,69.47560975609757,78.09268292682927,14.0,2.1,3.5127,3.4629,14.2,10.5,66.1548408365203,64.464942132349,11.6618729579887,19.3131674485937
France,Western Europe,0,76.60000000000001,82.57560975609756,7.4,3.6,3.1043,3.2565,13.4,11.5,65.8827791889399,62.2211765433074,14.036024837026,19.6689967687709
Georgia,Western Asia,0,70.386,73.414,40.9,8.9,4.926,6.1297,17.261,13.718,65.8299138381476,65.7973525687527,9.30986790438191,14.6735263860049
Greece,Eastern Europe,0,76.93902439024392,81.28780487804877,9.1,3.7,3.3577,5.4789,10.0,8.2,66.7917987809887,64.3958389509388,13.5630949056092,21.3993537979744
Grenada,North America,0,69.598,72.388,17.9,14.7,0.5,1.4067,28.31,16.701,53.138657337721,67.0319461731335,7.96628292034755,9.60369428360121
Honduras,North America,0,66.723,74.898,45.0,15.4,0.7,0.3089,38.484,21.859,50.7559880798409,63.0940799424076,3.36903717088541,4.56082731034521
Hungary,Eastern Europe,0,69.31560975609757,75.81707317073172,15.2,3.6,3.1688,3.3447,12.1,9.7,66.1286441530067,67.0498733635751,13.4572184987054,18.5778610772262
Iceland,Northern Europe,0,78.03634146341463,82.6609756097561,5.2,1.7,2.8,3.9773,18.7,11.9,64.3891422230761,65.5848059020374,10.666436640096,14.4255412045109
Indonesia,Southeast Asia,0,62.32,71.282,61.8,21.7,0.144,0.3767,25.813,18.422,59.774875397574,67.4031501634853,3.77396208026571,5.68194834038824
Iraq,Middle East,0,66.011,70.294,41.9,23.2,0.603,0.8375,37.755,29.693,50.3806077841047,57.9941922277341,3.82820296303262,3.23133991061807
Ireland,Northern Europe,0,74.80909756097562,82.15609756097562,7.6,3.0,1.5523,3.2946,15.1,12.9,61.2527610559731,64.890068519016,11.1398977750624,13.5066550900967
Israel,Middle East,0,76.60731707317075,82.55121951219512,9.7,3.1,3.7131,3.4783,22.2,21.1,59.8192634442456,60.3299090424763,8.92586537084624,11.725446660346
Italy,Western Europe,0,76.97073170731707,82.94634146341465,8.4,2.8,4.6706,3.9805,10.0,7.6,68.6549501723419,64.0252405238968,14.8704773272919,22.4996889509015
Jamaica,North America,0,73.204,74.267,25.3,12.7,0.57,1.3061,25.33,16.286,57.8929925377267,67.2924438382278,7.27106755386366,8.69333152563913
"Korea, Rep.",East Asia,0,71.59756097560977,82.62682926829268,13.2,2.8,0.8,2.3608,15.2,7.0,69.3293781394883,72.9222529604083,5.23300963159897,13.8522477555421
